game,platform,developer,genre,rating,release_date,metascore,user_score
Family Party: 30 Great Games Obstacle Arcade,WIIU,"Art Co., Ltd.",Miscellaneous,E,2012-12-04,11,12
BioShock Infinite,PC,Irrational Games,Action,M,2013-03-25,94,86
Super Mario 3D World,WIIU,Nintendo,Platformer,E,2013-11-22,93,89
Fire Emblem: Awakening,3DS,Intelligent Systems,Strategy,T,2013-02-04,92,91
Rayman Legends,WIIU,Ubisoft Montpellier,Action,E10+,2013-09-03,92,88
Fez,PC,Polytron Corp.,Action,E,2013-05-01,91,67
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,Action RPG,E,2013-11-22,91,90
flower,PS4,Bluepoint Games,General,E,2013-11-15,91,72
Spelunky,PC,Derek Yu,Action,,2013-08-08,90,72
The Legend of Zelda: The Wind Waker HD,WIIU,"Nintendo, HexaDrive",Action Adventure,E10+,2013-09-20,90,89
Brothers: A Tale of Two Sons,PC,Starbreeze,Action Adventure,T,2013-09-03,90,85
Dota 2,PC,Valve Software,General,,2013-07-09,90,65
Skylanders Swap Force,WIIU,Vicarious Visions,Action,E10+,2013-10-13,89,60
Rocksmith 2014 Edition,PC,Ubisoft,Action,T,2013-10-22,89,79
Spelunky,VITA,Mossmouth,Action,T,2013-08-27,88,80
Deus Ex: Human Revolution - Director's Cut,WIIU,"Eidos Montreal, Straight Right",Action Adventure,M,2013-10-22,88,85
Crusader Kings II: The Old Gods,PC,Paradox Development Studio,Strategy,,2013-05-28,88,87
FIFA 14,XONE,EA Canada,Sim,E,2013-11-19,88,58
Pokemon Y,3DS,Game Freak,Role-Playing,E,2013-10-12,88,87
The Stanley Parable,PC,Davey Wreden,Action,,2013-10-17,88,80
Guacamelee! Gold Edition,PC,DrinkBox Studios,Action,,2013-08-08,88,73
Animal Crossing: New Leaf,3DS,Nintendo,Simulation,E,2013-06-09,88,88
Pokemon X,3DS,Game Freak,Role-Playing,E,2013-10-12,87,86
Guacamelee!,VITA,DrinkBox Studios,Action,E10+,2013-04-09,87,83
The Swapper,PC,Facepalm Games,Action,,2013-05-30,87,86
Rayman Legends,VITA,Ubisoft Montpellier,Action,E10+,2013-09-03,87,84
Tearaway,VITA,Media Molecule,General,E,2013-11-22,87,89
FIFA 14,PS4,EA Canada,Sports,E,2013-11-12,87,63
Europa Universalis IV,PC,Paradox Development Studio,Strategy,T,2013-08-13,87,87
Pikmin 3,WIIU,Nintendo,Strategy,E10+,2013-08-04,87,87
Velocity Ultra,VITA,FuturLab,Action,E,2013-07-02,87,79
Gone Home,PC,The Fullbright Company,Sci-Fi,,2013-08-15,86,54
Pac-Man Championship Edition DX +,PC,Namco Bandai Games,Action,E,2013-09-24,86,75
Out of the Park Baseball 14,PC,Out Of The Park Developments,Sports,,2013-04-15,86,82
NBA 2K14,XONE,Visual Concepts,Sim,E,2013-11-12,86,57
Saints Row IV,PC,Volition Inc.,Action Adventure,M,2013-08-19,86,74
Need for Speed: Most Wanted U,WIIU,Criterion Games,Driving,E10+,2013-03-19,86,76
Starcraft II: Heart of the Swarm,PC,Blizzard Entertainment,Strategy,T,2013-03-12,86,80
Tomb Raider,PC,"Crystal Dynamics, Nixxes Software",Action Adventure,M,2013-03-04,86,85
XCOM: Enemy Within,PC,Firaxis Games,Sci-Fi,M,2013-11-11,86,80
Luigi's Mansion: Dark Moon,3DS,Next Level Games,Action Adventure,E,2013-03-24,86,85
Path of Exile,PC,Grinding Gear Games,Action RPG,,2013-01-25,86,81
Battlefield 4,PS4,EA DICE,Action,M,2013-11-12,85,70
NBA 2K14,PS4,Visual Concepts,Sports,E,2013-11-12,85,65
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PC,Gaijin Games,Action,T,2013-02-26,85,81
Hotline Miami,VITA,"Abstraction Games, Dennaton",Action,M,2013-06-25,85,84
Dust: An Elysian Tail,PC,Humble Hearts,Role-Playing,E10+,2013-05-24,85,85
DmC: Devil May Cry,PC,"Ninja Theory, QLOC",Action,M,2013-01-24,85,69
The Wolf Among Us: Episode 1 - Faith,PC,Telltale Games,Action Adventure,M,2013-10-11,85,89
Rogue Legacy,PC,Cellar Door Games,Role-Playing,,2013-06-27,85,79
Football Manager 2014,PC,Sports Interactive,Sports,E,2013-10-30,85,56
Sid Meier's Civilization V: Brave New World,PC,Firaxis Games,Strategy,E10+,2013-07-08,85,86
Trials Evolution: Gold Edition,PC,RedLynx,Driving,E10+,2013-03-21,85,68
Terraria,VITA,Engine Software,Action,T,2013-12-17,85,79
"Papers, Please",PC,Lucas Pope,Adventure,,2013-08-08,85,85
Mass Effect 3: Citadel,PC,BioWare,Role-Playing,M,2013-03-05,84,79
Assassin's Creed IV: Black Flag,PC,Ubisoft,Action Adventure,M,2013-11-19,84,78
Etrian Odyssey IV: Legends of the Titan,3DS,Atlus,Role-Playing,T,2013-02-26,84,83
Resogun,PS4,"Housemarque, XDEV",Shooter,E10+,2013-11-15,84,77
Mutant Mudds Deluxe,WIIU,Renegade Kid,Action,E,2013-06-13,84,73
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,WIIU,Gaijin Games,Action,T,2013-02-26,84,81
PixelJunk Monsters: Ultimate HD,VITA,Double Eleven,Strategy,E,2013-07-30,84,76
Trine 2: Complete Story,PS4,"Frozenbyte, Inc.",Platformer,E10+,2013-11-15,84,76
Gunpoint,PC,Tom Francis,Miscellaneous,,2013-06-03,83,84
Donkey Kong Country Returns 3D,3DS,Monster Games Inc.,Action,E,2013-05-24,83,83
Shin Megami Tensei IV,3DS,Atlus,Role-Playing,M,2013-07-16,83,62
Assassin's Creed IV: Black Flag,PS4,Ubisoft,Action Adventure,M,2013-11-12,83,79
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,VITA,Gaijin Games,Action,T,2013-12-17,83,72
Star Wars Pinball,WIIU,Zen Studios,Action,E10+,2013-07-11,83,72
Final Fantasy XIV Online: A Realm Reborn,PC,Square Enix,Role-Playing,T,2013-08-27,83,71
Card Hunter (2013),PC,Blue Manchu,Strategy,,2013-09-12,83,77
LEGO Marvel Super Heroes,PS4,TT Games,Action Adventure,E10+,2013-11-15,83,77
Starseed Pilgrim,PC,Droqen,Simulation,,2013-04-16,83,61
Monaco: What's Yours Is Mine,PC,Pocketwatch Games,Adventure,T,2013-04-24,83,77
Valdis Story: Abyssal City,PC,Endless Fluff,Action,,2013-09-08,83,76
CastleStorm,WIIU,Zen Studios,Strategy,T,2013-12-26,83,78
Ys: Memories of Celceta,VITA,Falcom,Role-Playing,T,2013-11-26,82,87
LEGO Marvel Super Heroes,WIIU,TT Games,Action Adventure,E10+,2013-10-22,82,79
Kentucky Route Zero - Act II,PC,Cardboard Computer,Adventure,,2013-05-31,82,77
Tom Clancy's Splinter Cell: Blacklist,PC,Ubisoft Toronto,Action Adventure,M,2013-08-20,82,75
The Pinball Arcade,PS4,Farsight Studios,Action,E10+,2013-12-17,82,68
Monster Hunter 3 Ultimate,WIIU,Capcom,Role-Playing,T,2013-03-19,82,82
Sokobond,PC,Alan Hazelden & Harry Lee,Miscellaneous,,2013-08-27,82,77
Quell Memento,VITA,Fallen Tree Games,Miscellaneous,E,2013-06-04,82,76
Antichamber,PC,Demruth,Miscellaneous,,2013-01-31,82,82
The Walking Dead: A Telltale Games Series - The Complete First Season,VITA,Telltale Games,Miscellaneous,M,2013-08-20,82,86
Gunman Clive,3DS,Horberg Productions,Action,E10+,2013-01-03,82,83
SteamWorld Dig,3DS,Image & Form,Action,E10+,2013-08-08,82,80
Metro: Last Light,PC,4A Games,Action,M,2013-05-13,82,85
Rising Storm,PC,Antimatter Games,Action,,2013-05-30,82,85
ZEN Pinball 2,PS4,Zen Studios,Action,E10+,2013-12-24,82,70
Battlefield 4,PC,EA DICE,Action,M,2013-10-29,81,61
War Thunder,PC,Gaijin Entertainment,Action,T,2013-08-15,81,65
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Capcom,Adventure,M,2013-10-24,81,83
Kentucky Route Zero - Act I,PC,Cardboard Computer,Adventure,,2013-01-07,81,75
Lone Survivor: The Director's Cut,VITA,"Curve Studios, superflat games",Action Adventure,T,2013-09-24,81,80
Castlevania: Lords of Shadow Ultimate Edition,PC,Mercury Steam,Action Adventure,M,2013-08-27,81,74
Mario & Luigi: Dream Team,3DS,Alphadream Corporation,Role-Playing,E10+,2013-08-11,81,81
Victoria II: Heart of Darkness,PC,Paradox Development Studio,Strategy,,2013-04-16,81,87
Far Cry 3: Blood Dragon,PC,Ubisoft Montreal,Action,M,2013-05-01,81,81
Mortal Kombat Komplete Edition,PC,NetherRealm Studios,Action,M,2013-07-03,81,87
GRID 2,PC,Codemasters,Driving,E,2013-05-27,80,58
Etrian Odyssey Untold: The Millennium Girl,3DS,Atlus,Role-Playing,T,2013-10-01,80,81
Outlast,PC,Red Barrels,Horror,M,2013-09-04,80,83
Dishonored: The Brigmore Witches,PC,Arkane Studios,Action Adventure,M,2013-08-13,80,87
Injustice: Gods Among Us - Ultimate Edition,PS4,NetherRealm Studios,Action,T,2013-11-12,80,72
Goodbye Deponia,PC,Daedalic Entertainment,Adventure,,2013-10-17,80,78
Brutal Legend,PC,Double Fine Productions,Action,M,2013-02-26,80,78
Dishonored: The Knife of Dunwall,PC,Arkane Studios,Action Adventure,M,2013-04-16,80,82
Company of Heroes 2,PC,Relic,Strategy,M,2013-06-25,80,21
The Sims 3: Into the Future,PC,Maxis,Simulation,T,2013-10-22,80,54
Need for Speed: Rivals,PS4,Ghost Games,Driving,E10+,2013-11-15,80,62
Fallen Enchantress: Legendary Heroes,PC,Stardock,Strategy,,2013-05-22,80,77
LEGO City Undercover,WIIU,TT Games,Action Adventure,E10+,2013-03-18,80,83
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,PC,CyberConnect2,Action,T,2013-10-24,80,81
Proteus,PC,Ed Key and David Kanaga,Adventure,,2013-01-30,80,56
Wargame: AirLand Battle,PC,Eugen Systems,Strategy,T,2013-05-29,80,80
Dead or Alive 5 Plus,VITA,Team Ninja,Action,M,2013-03-19,80,80
Dungeons & Dragons: Chronicles of Mystara,PC,Iron Galaxy Studios,Action,T,2013-06-18,80,68
The Walking Dead: Season Two - A Telltale Games Series,PC,Telltale Games,Action,M,2013-12-17,80,83
The Wolf Among Us,PC,Telltale Games,Action Adventure,M,2013-10-11,80,88
Resident Evil: Revelations,WIIU,Capcom,Action Adventure,M,2013-05-21,80,75
Forza Motorsport 5,XONE,Turn 10,GT / Street,E,2013-11-22,79,60
Euro Truck Simulator 2,PC,SCS Software,Simulation,,2013-01-16,79,87
Monster Hunter 3 Ultimate,3DS,Capcom,Role-Playing,T,2013-03-19,79,80
Skylanders Swap Force,PS4,Vicarious Visions,Action,E10+,2013-11-15,79,51
Payday 2,PC,Overkill Software,Action,M,2013-08-13,79,37
Sang-Froid: Tales of Werewolves,PC,Artifice Studio,Action,,2013-04-05,79,77
Edge,WIIU,Two Tribes,General,E,2013-11-21,79,75
Call of Juarez: Gunslinger,PC,Techland,Action,M,2013-05-22,79,82
Memoria,PC,Daedalic Entertainment,Adventure,,2013-08-29,79,81
Race the Sun,PC,Flippfly,Action,,2013-08-19,79,73
Stick it to the Man!,PC,Zoink!,Action,T,2013-12-13,79,73
Don't Starve,PC,Klei Entertainment,Action Adventure,,2013-04-23,79,83
TrackMania 2 Valley,PC,Nadeo,Driving,,2013-07-04,79,77
State of Decay,PC,Undead Labs,Action Adventure,M,2013-11-05,79,69
CastleStorm,VITA,Zen Studios,Strategy,T,2013-11-05,79,74
The Walking Dead: Season Two Episode 1 - All That Remains,PC,Telltale Games,General,M,2013-12-17,78,85
Muramasa Rebirth,VITA,Vanillaware,Role-Playing,T,2013-06-25,78,84
DeadCore,PC,5-Bits Games,Action,T,2013-08-13,78,68
Teleglitch: Die More Edition,PC,Johamm Tael & Mihkel Tael,Action,,2013-07-24,78,70
LEGO Marvel Super Heroes,PC,TT Games,Action Adventure,E10+,2013-10-22,78,81
Mario and Donkey Kong: Minis on the Move,3DS,Nintendo,Puzzle,E,2013-05-09,78,75
Stealth Inc: A Clone in the Dark,VITA,Curve Studios,Action,T,2013-07-23,78,80
Dead Space 3,PC,Visceral Games,Action,M,2013-02-05,78,61
The Wonderful 101,WIIU,PlatinumGames,Action,T,2013-09-15,78,86
Killzone: Mercenary,VITA,Guerilla Cambridge,Action,M,2013-09-10,78,88
Baldur's Gate II: Enhanced Edition,PC,Overhaul Games,PC-style RPG,,2013-11-15,78,74
Call of Duty: Ghosts,XONE,Infinity Ward,Action,M,2013-11-19,78,43
Call of Duty: Ghosts,PS4,Infinity Ward,Action,M,2013-11-15,78,38
Rune Factory 4,3DS,Neverland,Role-Playing,E10+,2013-10-01,78,81
Thomas Was Alone,VITA,Mike Bithell,Action,E,2013-04-23,78,67
Samurai Gunn,PC,Beau Blyth,General,,2013-12-10,78,75
The Walking Dead: 400 Days,PC,Telltale Games,Action,M,2013-07-03,78,76
Dead Rising 3,XONE,Capcom Vancouver,General,M,2013-11-22,78,69
Battlefield 3: End Game,PC,EA DICE,Action,M,2013-03-26,78,73
Kokuga,3DS,G.Rev,Action,E,2013-06-27,77,75
Proteus,VITA,Ed Key and David Kanaga,Adventure,E,2013-10-29,77,62
F1 2013,PC,Codemasters,Driving,E,2013-10-03,77,64
Expeditions: Conquistador,PC,Logic Artists,Role-Playing,,2013-05-30,77,81
RUSH,WIIU,Two Tribes,Miscellaneous,E,2013-12-12,77,75
LEGO Batman 2: DC Super Heroes,WIIU,TT Games,Action Adventure,E10+,2013-05-21,77,73
Element4l,PC,i-illusions,Action,,2013-05-24,77,77
Anomaly 2,PC,11 bit studios,Action,T,2013-05-15,77,77
Teslagrad,PC,Rain Games,Action,E,2013-12-13,77,77
Super Little Acorns 3D Turbo,3DS,Pixel Toys,Action,E,2013-04-18,77,70
Eldritch,PC,Minor Key Games,Action,,2013-10-21,77,68
Sanctum 2,PC,Coffee Stain Studios,Action,T,2013-05-15,77,76
Magic: Duels of the Planeswalkers 2014,PC,Stainless Games,Strategy,T,2013-06-26,77,61
Ace Combat Assault Horizon: Enhanced Edition,PC,"Project Aces , QLOC",Action,T,2013-01-24,77,59
Resident Evil: Revelations,PC,Capcom,Action Adventure,M,2013-05-20,77,70
Angry Video Game Nerd Adventures,PC,FreakZone,Action,,2013-09-20,77,76
Soul Sacrifice,VITA,"SCE Japan Studio, comcept",Action,M,2013-04-30,77,82
Dragon's Crown,VITA,Vanillaware,Action,T,2013-08-06,77,84
Crusader Kings II: Sons of Abraham,PC,Paradox Development Studio,Historic,,2013-11-18,77,76
Cognition: An Erica Reed Thriller Episode 3 - The Oracle,PC,Phoenix Online Studios,Adventure,,2013-06-30,77,75
Risk of Rain,PC,"Chucklefish, Hopoo Games",General,,2013-11-08,77,81
Dungeons & Dragons: Chronicles of Mystara,WIIU,Iron Galaxy Studios,Action,T,2013-09-05,77,78
Peggle 2,XONE,PopCap,Miscellaneous,E,2013-12-09,77,72
Attack of the Friday Monsters! A Tokyo Tale,3DS,"Level 5, Millennium Kitchen",Action,E,2013-07-18,77,76
New Super Luigi U,WIIU,Nintendo,Action,E,2013-06-20,77,80
Toki Tori 2 +,PC,Two Tribes,Miscellaneous,E,2013-07-11,76,76
Knytt Underground,WIIU,nifflas,Action,M,2013-12-19,76,76
SteamWorld Dig,PC,Image & Form,Action,,2013-12-05,76,73
Toki Tori 2,WIIU,Two Tribes,Miscellaneous,E,2013-04-04,76,75
Crysis 3,PC,Crytek,Action,M,2013-02-19,76,66
Total War: Rome II,PC,Creative Assembly,Strategy,T,2013-09-02,76,42
Assassin's Creed IV: Black Flag - Freedom Cry,XONE,Ubisoft Montreal,Action Adventure,M,2013-12-17,76,71
Volgarr the Viking,PC,Crazy Viking Studios,Action,,2013-09-13,76,77
Divinity: Dragon Commander,PC,Larian Studios Games Ltd,Role-Playing,,2013-08-06,76,71
The Denpa Men 2: Beyond the Waves,3DS,Genius Sonority Inc.,Role-Playing,E,2013-05-30,76,63
Rocketbirds: Hardboiled Chicken,VITA,Ratloop Asia Pte Ltd,Action,T,2013-02-12,76,72
Shadowrun Returns,PC,Harebrained Schemes LLC,Role-Playing,,2013-07-25,76,74
Disney DuckTales Remastered,WIIU,WayForward,Action,E,2013-08-13,76,79
Need for Speed: Rivals,PC,Ghost Games,Driving,E10+,2013-11-19,76,35
Mercenary Kings,PC,"Tribute Games, Tribute Games Inc.",General,T,2013-07-22,76,65
ShootMania Storm,PC,Nadeo,Action,,2013-04-10,76,72
Poker Night 2,PC,Telltale Games,Miscellaneous,M,2013-04-26,75,70
Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,Gearbox Software,Action,M,2013-01-15,75,61
Reus,PC,Abbey Games,Strategy,E10+,2013-05-16,75,72
Need for Speed: Rivals,XONE,Ghost Games,Driving,E10+,2013-11-22,75,58
Sly Cooper: Thieves in Time,VITA,Sanzaru Games,Action Adventure,E10+,2013-02-05,75,80
Star Conflict,PC,Star Gem Inc.,Action,,2013-02-27,75,70
Anodyne,PC,Analgesic Productions,Adventure,,2013-02-04,75,66
MLB 13: The Show,VITA,SCEA San Diego Studios,Sports,E,2013-03-05,75,75
The Night of the Rabbit,PC,Daedalic Entertainment,Adventure,,2013-05-28,75,75
Spin the Bottle: Bumpie's Party,WIIU,Redgrim AB,Miscellaneous,E,2013-08-08,75,77
Cloudberry Kingdom,WIIU,Pwnee Studios,Action,T,2013-08-01,75,70
Nihilumbra,PC,"BEAUTIFUN GAMES SL, BeautiFun Games",Action,,2013-09-24,75,65
Hakuoki: Memories of the Shinsengumi,3DS,Idea Factory,General,M,2013-09-19,75,76
Beatbuddy: Tale of the Guardians,PC,Threaks,General,,2013-08-06,75,74
Atelier Meruru Plus: The Apprentice of Arland,VITA,Gust,Role-Playing,T,2013-10-01,74,81
Batman: Arkham Origins,PC,Iron Galaxy Studios,Action Adventure,T,2013-10-24,74,75
Jacob Jones and the Bigfoot Mystery: Episode One - A Bump in the Night,VITA,Lucid Games,Miscellaneous,E10+,2013-05-14,74,77
Insurgency,PC,New World Interactive,Shooter,,2013-03-01,74,86
Madden NFL 25,PS4,EA Sports,Sports,E,2013-11-12,74,52
The Raven: Legacy of a Master Thief,PC,KING Art,Adventure,T,2013-07-23,74,68
Nano Assault EX,3DS,Shin'en,Action,E10+,2013-03-07,74,79
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,Atlus,Role-Playing,M,2013-04-16,74,39
Bit.Trip Fate,PC,Gaijin Games,Action,,2013-07-11,74,64
The Bridge (2013),PC,Ty Taylor and Mario Castaneda,Miscellaneous,E,2013-02-22,74,76
Eador: Masters of the Broken World,PC,Snowbird Game Studios,Strategy,,2013-04-19,74,72
Pro Evolution Soccer 2014,PC,Konami,Sports,E,2013-11-12,74,44
Arma 3,PC,Bohemia Interactive,Simulation,M,2013-03-05,74,75
Neverwinter,PC,Cryptic Studios,Role-Playing,,2013-06-20,74,53
Shadow Warrior,PC,Flying Wild Hog,Action,,2013-09-26,73,81
Killzone: Shadow Fall,PS4,Guerrilla,Shooter,M,2013-11-15,73,68
MirrorMoon EP,PC,Santa Ragione,Miscellaneous,,2013-09-04,73,55
Escape Plan,PS4,Fun Bits,Miscellaneous,T,2013-12-03,73,66
Paper Sorcerer,PC,Ultra Runaway Games,General,,2013-11-02,73,67
Dungeon Hearts,PC,Cube Roots,Miscellaneous,,2013-03-28,73,64
The Sims 3: Island Paradise,PC,The Sims Studio,Simulation,T,2013-06-25,73,58
HarmoKnight,3DS,Game Freak,Action,E,2013-03-28,73,76
PixelJunk Shooter,PC,Q-Games,Action,E10+,2013-11-11,73,75
Picross e,3DS,Jupiter Corporation,Miscellaneous,E,2013-06-13,73,71
Gas Guzzlers Extreme,PC,Gamepires,Simulation,,2013-10-08,73,86
Worms Clan Wars,PC,Team 17,Strategy,E10+,2013-08-15,73,69
CastleStorm,PC,Zen Studios,Strategy,T,2013-07-29,73,77
Mighty Switch Force! 2,3DS,WayForward,Action,E10+,2013-06-13,73,76
Killer Instinct,XONE,Double Helix Games,Action,T,2013-11-22,73,63
Madden NFL 25,XONE,EA Sports,Sports,E,2013-11-19,73,58
Fist Puncher,PC,Team2Bit,Action,,2013-06-21,73,75
Wii Fit U,WIIU,Nintendo,Sports,E,2013-11-01,72,77
Castlevania: Lords of Shadow - Mirror of Fate,3DS,Mercury Steam,Action Adventure,M,2013-03-05,72,72
Just Dance 2014,WIIU,Ubisoft,Action,E10+,2013-10-08,72,76
Loadout,PC,Edge of Reality,Shooter,M,2013-05-15,72,73
The Sims 3: University Life,PC,The Sims Studio,Simulation,T,2013-03-05,72,70
Aarklash: Legacy,PC,"Cyanide, Cyanide Studios",Strategy,,2013-09-12,72,77
The Incredible Adventures of Van Helsing,PC,NeocoreGames,Role-Playing,T,2013-05-22,72,82
Cognition: An Erica Reed Thriller Episode 2 - The Wise Monkey,PC,Phoenix Online Studios,Adventure,,2013-01-30,72,75
Inazuma Eleven 3: Bomb Blast,3DS,Level 5,Sports,,2013-09-27,72,77
Max: The Curse of Brotherhood,XONE,Press Play,Fantasy,E10+,2013-12-20,72,74
The Inner World,PC,Headup Games,Adventure,T,2013-09-27,72,77
Amnesia: A Machine for Pigs,PC,Frictional Games,Action Adventure,,2013-09-10,72,59
FORCED,PC,BetaDwarf,Role-Playing,,2013-10-24,72,77
Cities in Motion 2,PC,Colossal Order,Simulation,,2013-04-02,72,73
Open Me!,VITA,SCEI,Action,E10+,2013-08-13,72,78
Tetrobot and Co.,PC,Swing Swing Submarine,Miscellaneous,,2013-10-22,72,76
The Cave,WIIU,Double Fine Productions,Action,T,2013-01-22,72,72
PixelJunk Monsters: Ultimate,PC,Double Eleven,Strategy,E,2013-08-26,72,73
Assassin's Creed IV: Black Flag - Freedom Cry,PS4,Ubisoft Montreal,Action Adventure,M,2013-12-18,71,64
NES Remix,WIIU,Indies Zero ,Miscellaneous,E,2013-12-18,71,72
Surgeon Simulator 2013,PC,Bossa Studios,Simulation,,2013-04-19,71,59
The Typing of the Dead: Overkill,PC,Modern Dream,Action,M,2013-10-29,71,77
Disney Infinity,WIIU,Avalanche Software,Action Adventure,E10+,2013-08-18,71,76
March of the Eagles,PC,Paradox Development Studio,Strategy,,2013-02-18,71,69
Sid Meier's Ace Patrol,PC,Firaxis Games,Strategy,,2013-08-27,71,66
Lilly Looking Through,PC,Geeta Games,Adventure,,2013-11-01,71,68
Scribblenauts Unmasked: A DC Comics Adventure,WIIU,5TH Cell,Puzzle,E10+,2013-09-24,71,63
Ikachan,3DS,Nicalis,Action,E,2013-01-31,71,72
Naruto Powerful Shippuden,3DS,Inti Creates,Action,E10+,2013-03-05,71,59
Warframe,PC,Digital Extremes,Action,M,2013-03-25,71,84
Doki-Doki Universe,PS4,"SCEA, Humanature Studios",General,E10+,2013-12-10,71,63
Battle Worlds: Kronos,PC,KING Art,Strategy,,2013-11-04,71,71
flOw,PS4,SuperVillain Studios,Miscellaneous,E,2013-12-17,71,66
Papo & Yo,PC,"Minority, Minority Media Inc.",Adventure,E10+,2013-04-18,70,77
Leviathan: Warships,PC,Pieces Interactive,Strategy,,2013-04-28,70,65
Halo: Spartan Assault,PC,"Vanguard, 343 Industries",Action,T,2013-07-18,70,63
BioShock Infinite: Burial at Sea - Episode One,PC,Irrational Games,Action,M,2013-11-12,70,77
Magrunner: Dark Pulse,PC,Frogwares,Miscellaneous,M,2013-06-20,70,75
Cognition: An Erica Reed Thriller Episode 4 - The Cain Killer,PC,Phoenix Online Studios,Adventure,,2013-09-19,70,70
Democracy 3,PC,Positech Games,Strategy,,2013-10-14,70,71
Inazuma Eleven 3: Lightning Bolt,3DS,Level 5,Sports,,2013-09-27,70,72
Starpoint Gemini 2,PC,Little Green Men,Strategy,,2013-09-06,70,84
Project X Zone,3DS,"Monolith Soft, Banpresto",Strategy,T,2013-06-25,70,74
Retrovirus,PC,Cadenza,Action,,2013-01-31,70,67
Puddle,WIIU,Neko Entertainment,Miscellaneous,T,2013-01-31,70,72
Rainbow Moon,VITA,SideQuest Studios,Role-Playing,E10+,2013-12-03,70,64
Enslaved: Odyssey to the West,PC,Ninja Theory,Action Adventure,T,2013-10-24,70,76
Richard & Alice,PC,Denby / Raze,General,,2013-02-21,70,68
Ironclad Tactics,PC,Zachtronics Industries,Strategy,T,2013-09-18,69,72
Broken Sword 5: The Serpents' Curse - Part I,PC,Revolution Software,General,T,2013-12-04,69,80
Resident Evil 6,PC,"Capcom, QLOC",Action Adventure,M,2013-03-22,69,60
Foul Play,PC,Mediatonic,Action,,2013-09-18,69,59
Real Boxing,VITA,Vivid Games,Sports,T,2013-09-17,69,68
World of Warplanes,PC,Wargaming.net,Action,T,2013-11-13,69,53
Brain Age: Concentration Training,3DS,Nintendo,Edutainment,E,2013-02-10,69,78
Thunder Wolves,PC,Most Wanted Entertainment,Action,M,2013-05-15,69,71
Shelter,PC,Might and Delight,Adventure,E10+,2013-08-28,69,72
Call of Duty: Ghosts,PC,Infinity Ward,Action,M,2013-11-04,68,21
Scribblenauts Unmasked: A DC Comics Adventure,3DS,5TH Cell,Puzzle,E10+,2013-09-24,68,61
Blackguards,PC,Daedalic Entertainment,General,,2013-11-06,68,71
Zoo Tycoon,XONE,Frontier Developments,Tycoon,E,2013-11-22,68,31
Picross e2,3DS,Jupiter Corporation,Miscellaneous,E,2013-07-25,68,71
Earth Defense Force 2017 Portable,VITA,Sandlot,Action,T,2013-01-08,68,76
AiRace Speed,3DS,QubicGames,Driving,E,2013-09-19,68,76
Batman: Arkham Origins Blackgate,3DS,Armature Studio,Action Adventure,T,2013-10-25,68,67
Star Wars Pinball,3DS,Zen Studios,Action,E10+,2013-09-19,68,54
Wii Sports Club,WIIU,Nintendo,Sports,E10+,2013-11-07,68,70
Tokyo Crash Mobs,3DS,Mitchell,Miscellaneous,E,2013-01-17,68,74
The Cave (2013),PC,Double Fine Productions,Action,T,2013-01-23,68,76
Scribblenauts Unmasked: A DC Comics Adventure,PC,5TH Cell,Puzzle,E10+,2013-09-24,68,60
Game Dev Tycoon,PC,Greenheart Games,Strategy,,2013-04-28,68,80
Age of Empires II: HD Edition,PC,"Ensemble Studios, Hidden Path Entertainment",Strategy,T,2013-04-09,68,79
MechWarrior Online,PC,Piranha Games,Action,,2013-09-17,68,53
Dillon's Rolling Western: The Last Ranger,3DS,Vanpool,Action,E10+,2013-04-11,68,75
Skylanders Swap Force,3DS,n-Space,Action,E10+,2013-10-13,68,64
Pandora: First Contact,PC,Proxy Studios,Strategy,,2013-11-14,68,74
Rise of the Triad,PC,Interceptor,Action,M,2013-07-31,67,67
Worms Revolution Extreme,VITA,Team 17,Strategy,E10+,2013-10-08,67,66
KickBeat,VITA,Zen Studios,Action,T,2013-09-03,67,73
The Showdown Effect,PC,Arrowhead Game Studios,Action,,2013-03-05,67,70
Men's Room Mayhem,VITA,Sawfly Studios,Action,T,2013-05-21,67,51
Dungeonland,PC,Critical Studio,Action,RP,2013-01-29,67,75
Jak and Daxter Collection,VITA,Mass Media,Action,T,2013-06-18,67,63
Oozi: Earth Adventure,PC,"AwesomeGamesStudio, Awesome Games Studio",Action,,2013-12-05,66,72
The Bureau: XCOM Declassified,PC,2K Marin,Action,M,2013-08-19,66,65
Doki-Doki Universe,VITA,SCEA,General,E10+,2013-12-10,66,55
Rise of Venice,PC,Kalypso,Strategy,,2013-09-27,66,68
Strike Suit Infinity,PC,Born Ready Games,Action,,2013-04-30,66,70
The Novelist,PC,Orthogonal Games,Miscellaneous,,2013-12-10,66,60
The Amazing Spider-Man,WIIU,Beenox,Action,T,2013-03-05,66,66
Picross e3,3DS,Jupiter Corporation,Miscellaneous,E,2013-10-03,66,70
The Yawhg,PC,damiansommer,Adventure,,2013-06-14,66,76
